Semi-major Axis,Semi-minor Axis,Ellipticity,Orientation Angle,Isophotal Area,Sersic Index,Image Index
2.042630434036255,1.1948134899139404,0.41506134932446936,-0.9346885681152344,30,0.7846168791378484,0
1.4880516529083252,0.6529197692871094,0.5612250636521863,0.6013975739479065,13,0.5461122119719396,1
7.500579833984375,6.91791296005249,0.07768291076536238,-0.8698267936706543,1330,4.452399029678872,3
1.8369306325912476,0.614249587059021,0.6656108966986216,1.4519941806793213,15,0.43169473906535955,4
3.5926432609558105,2.4875051975250244,0.30761141119721636,0.010000634007155895,123,1.090179638751592,5
1.437574863433838,0.6216947436332703,0.567539222167345,0.930658221244812,11,0.5382535901394875,6
11.567025184631348,7.187310695648193,0.37863793145382874,1.5505446195602417,1996,0.8697637232788276,8
1.9438285827636719,1.5673588514328003,0.19367434694041752,-0.9769811630249023,43,1.7668632009418437,9
2.64223051071167,2.3125429153442383,0.12477624265970355,1.3023244142532349,117,2.7630856626991864,10
9.821257591247559,6.442107200622559,0.3440649386527045,0.6879475712776184,1599,0.9662041630185157,12
7.573101997375488,6.705912113189697,0.1145092043506507,-0.8158490657806396,1410,3.01332508484698,13
9.7023286819458,6.145069599151611,0.3666397211850363,1.496788740158081,1054,0.9012787335514026,14
3.843897819519043,3.580216646194458,0.06859734199635337,-0.8868420124053955,520,5.044354266451122,15
1.3079031705856323,0.9185786843299866,0.2976707259462642,-0.4716898500919342,17,1.1290442454312133,16
2.19427227973938,1.319671869277954,0.3985833565583322,-0.4398009777069092,36,0.8213353057264778,17
1.5233336687088013,0.6468302607536316,0.5753850426598305,-0.5467684268951416,13,0.5286872617530185,18
1.0742158889770508,0.9722514748573303,0.09491985285827287,-0.8530659675598145,15,3.6402313828453714,19
3.3820042610168457,2.8749396800994873,0.1499302016742292,-0.07138281315565109,106,2.294140541131759,20
4.421450614929199,4.025513172149658,0.0895492174994883,0.9421688914299011,780,3.8598349838301234,21
2.2694602012634277,1.6418484449386597,0.27654671184600255,1.4901950359344482,53,1.22059203622449,22
8.730298042297363,5.010300636291504,0.4261019942254971,0.4308185279369354,1358,0.7614923086103456,23
2.6676740646362305,1.546057939529419,0.420447212789377,-1.0526032447814941,56,0.7731959310719345,24
1.1281110048294067,0.8838715553283691,0.21650302891777173,0.5871198773384094,14,1.5754474459041286,25
1.570554494857788,0.8955298662185669,0.4298001953127668,0.48447591066360474,19,0.7539919514514085,26
1.7607742547988892,0.7734565734863281,0.5607292806682533,-0.005652690771967173,19,0.5467354754462607,27
6.184128284454346,5.905374050140381,0.04507575223086768,-0.8900159001350403,1637,7.683482146757835,28
2.276801586151123,0.8597561717033386,0.6223842354411149,1.1997509002685547,22,0.47548299398654703,29
2.768216609954834,1.428349256515503,0.4840182479293743,-0.17772641777992249,38,0.6561176586624908,30
3.4116084575653076,2.522366762161255,0.26065174432081795,-1.0738468170166016,148,1.2989647990564692,31
3.1149234771728516,2.4050941467285156,0.22788018249764097,-1.0940583944320679,103,1.4941582722795972,32
1.654275894165039,0.7159396409988403,0.5672187187614217,0.09935496747493744,17,0.5386490007793491,33
1.5521776676177979,0.9850490689277649,0.3653760845306019,1.4559695720672607,22,,34
3.9516687393188477,3.0883426666259766,0.21847126610154155,-1.3677762746810913,290,1.5607894525463344,35
6.371328830718994,5.179720878601074,0.18702659739874838,0.4870150685310364,770,1.8312596666992405,36
3.554091691970825,3.0482304096221924,0.14233208543590536,1.4883695840835571,196,2.4184319748491654,37
2.1203572750091553,1.7692177295684814,0.16560395249388227,0.34348511695861816,48,2.0735124629165003,38
0.8491251468658447,0.6657984852790833,0.21590063874969145,0.765486478805542,8,1.5799861275708593,39
2.1265945434570312,0.6793504953384399,0.6805453595145244,0.038316816091537476,19,0.4174935681702689,40
1.8403176069259644,1.237918496131897,0.32733431910174715,-0.8945679664611816,30,1.0198147639856998,41
1.1555312871932983,0.6801357865333557,0.41140859267830276,1.5369489192962646,11,0.7925203123410836,42
2.375214099884033,1.4910612106323242,0.37224134417814236,-0.7348079681396484,51,0.886326563834259,43
3.339202642440796,2.546491861343384,0.23739523053263367,0.03993412107229233,227,1.43205147893964,44
0.7397299408912659,0.6576902270317078,0.11090495236776854,-1.5002344846725464,7,3.1121059145205785,45
9.397807121276855,6.890777111053467,0.26676755309729794,-1.465937852859497,1400,1.2677335553406999,46
1.575368046760559,1.2466212511062622,0.20867935993135145,-0.28151142597198486,26,1.6364006657594856,47
2.5568673610687256,0.9771371483802795,0.6178381549006697,0.06445496529340744,35,0.48035085478932493,48
0.7516221404075623,0.45213308930397034,0.39845693068753396,-1.251031517982483,5,0.8216279542750858,49
2.0099997520446777,1.851737141609192,0.07873762684522367,-0.21141460537910461,58,4.392514846336865,50
5.6195149421691895,4.576236724853516,0.18565271701421227,-0.09936587512493134,726,1.8451361587374555,51
3.05877423286438,2.391789436340332,0.21805623617387804,-1.2899073362350464,131,1.5638586455628605,52
2.239809274673462,1.099008321762085,0.5093295066731485,-0.42321085929870605,33,0.6168721779022192,53
6.070888519287109,5.605536460876465,0.07665303965510628,0.13820122182369232,955,4.512459503792166,54
7.670668601989746,3.9214274883270264,0.4887763124964334,-0.9059877991676331,969,0.6484662019674737,55
8.239809036254883,5.829753398895264,0.2924892587626067,0.6293386220932007,1543,1.1503133620145498,56
10.123096466064453,6.915320873260498,0.3168769164215066,-1.2903199195861816,1396,1.0560743145418012,57
2.004030704498291,1.2464053630828857,0.37805076524766956,0.057568300515413284,39,0.8712620553832567,58
